,spot_id,timestamp,latitude,longitude,area,is_shaded,is_near_entrance,time_of_day,status,is_handicap_accessible,has_camera_surveillance,is_ev_friendly,price_per_hour,max_duration,id
22,A23,2025-04-10 23:07:00,30.06215631682513,31.640025524529023,Madinaty,1,0,night,0,1,0,1,6.26,22,MAD-00022
23,A24,2025-04-08 07:33:00,30.073763702752643,31.644385278683888,Madinaty,1,0,morning,1,1,0,0,16.6,3,MAD-00023
24,A25,2025-04-05 05:54:00,30.072463340530525,31.647828350277955,Madinaty,1,0,night,0,1,0,1,6.5,21,MAD-00024
25,A26,2025-04-29 00:36:00,30.064578579124053,31.64444628686745,Madinaty,1,0,night,0,1,0,1,18.22,10,MAD-00025
26,A27,2025-04-07 05:56:00,30.061926066960467,31.63348751324851,Madinaty,1,0,night,1,1,0,0,9.56,14,MAD-00026
27,A28,2025-04-13 23:41:00,30.06496300300388,31.634603802680477,Madinaty,0,1,night,0,1,0,1,14.82,8,MAD-00027
28,A29,2025-04-22 06:16:00,30.064284436452123,31.642449752401703,Madinaty,1,0,morning,1,1,0,0,12.31,10,MAD-00028
29,A30,2025-04-29 16:08:00,30.073570685974182,31.63064608868773,Madinaty,1,0,afternoon,0,1,1,0,10.49,2,MAD-00029
30,A31,2025-04-13 02:09:00,30.071973511428368,31.642556754517948,Madinaty,1,0,night,0,0,0,0,14.68,13,MAD-00030
31,A32,2025-04-02 21:57:00,30.05950208482209,31.643360982287483,Madinaty,0,0,night,0,0,1,1,19.21,5,MAD-00031
32,A33,2025-04-28 05:03:00,30.075906115170863,31.630451633042348,Madinaty,1,0,night,0,1,0,1,5.62,11,MAD-00032
33,A34,2025-04-28 10:02:00,30.067577821118608,31.632135182904246,Madinaty,1,1,morning,0,1,1,1,18.78,1,MAD-00033
34,A35,2025-04-25 13:35:00,30.06445999938443,31.637903402208824,Madinaty,0,1,afternoon,0,1,0,1,14.14,10,MAD-00034
35,A36,2025-04-24 15:17:00,30.06434064414597,31.64048673094532,Madinaty,0,1,afternoon,0,0,0,0,17.11,13,MAD-00035
36,A37,2025-04-07 00:33:00,30.07344878577321,31.649952934180217,Madinaty,1,1,night,0,1,0,0,10.76,4,MAD-00036
37,A38,2025-04-02 18:20:00,30.067087616400144,31.649715464626794,Madinaty,0,0,evening,0,0,1,1,12.08,21,MAD-00037
38,A39,2025-04-16 05:00:00,30.06191308392521,31.653329213863305,Madinaty,1,1,night,1,0,1,1,18.03,10,MAD-00038
39,A40,2025-04-25 00:19:00,30.0610222462065,31.62598699966817,Madinaty,1,0,night,0,0,1,1,11.22,12,MAD-00039
40,A41,2025-04-29 13:02:00,30.073262797244247,31.631429868659755,Madinaty,0,0,afternoon,0,0,1,1,13.02,14,MAD-00040
41,A42,2025-04-13 11:57:00,30.069616225835404,31.642443644456225,Madinaty,1,1,morning,1,0,0,0,5.3,3,MAD-00041
42,A43,2025-04-25 12:55:00,30.07567423526528,31.63456141286158,Madinaty,1,0,afternoon,1,1,0,1,7.38,2,MAD-00042
43,A44,2025-04-17 00:15:00,30.065219468718944,31.63696079277177,Madinaty,0,0,night,1,1,0,0,14.63,19,MAD-00043
44,A45,2025-04-30 21:53:00,30.0654167059604,31.64080230472848,Madinaty,0,0,night,1,1,1,1,15.75,11,MAD-00044
45,A46,2025-04-09 08:57:00,30.074466591210896,31.637812988418617,Madinaty,0,1,morning,1,1,0,1,13.74,21,MAD-00045
46,A47,2025-04-03 10:58:00,30.06996824829286,31.64250809791939,Madinaty,1,0,morning,0,1,1,1,7.15,7,MAD-00046
47,A48,2025-04-23 22:30:00,30.075557942740858,31.64183105012226,Madinaty,1,1,night,1,0,1,0,11.68,18,MAD-00047
48,A49,2025-04-05 22:03:00,30.07519358535249,31.64179401684868,Madinaty,0,1,night,1,1,1,1,10.33,14,MAD-00048
49,A50,2025-04-25 16:07:00,30.0634316384933,31.63034676128988,Madinaty,0,1,afternoon,1,1,1,0,12.43,7,MAD-00049
50,A51,2025-04-30 09:57:00,30.075508485273584,31.63180408834074,Madinaty,1,1,morning,1,0,1,0,18.05,22,MAD-00050
51,A52,2025-04-03 08:26:00,30.076607429865945,31.652133671076346,Madinaty,0,0,morning,1,1,0,1,16.64,7,MAD-00051
52,A53,2025-04-01 15:22:00,30.059461317732545,31.647890315649043,Madinaty,1,1,afternoon,1,0,1,0,6.26,23,MAD-00052
53,A54,2025-04-17 05:09:00,30.07504820598157,31.64665829525558,Madinaty,1,1,night,1,1,1,0,18.35,9,MAD-00053
54,A55,2025-04-30 12:36:00,30.07458904661557,31.62590570537749,Madinaty,0,1,afternoon,0,0,0,0,12.08,23,MAD-00054
55,A56,2025-05-01 02:04:00,30.072165560210436,31.639857401880956,Madinaty,1,0,night,0,1,1,1,16.16,12,MAD-00055
56,A57,2025-04-04 11:29:00,30.065585176994915,31.645518328426306,Madinaty,0,0,morning,0,1,1,0,7.1,6,MAD-00056
57,A58,2025-04-16 20:31:00,30.063108870530275,31.6337815131446,Madinaty,0,1,evening,0,0,0,0,15.06,7,MAD-00057
58,A59,2025-04-28 23:45:00,30.06859912653413,31.632469049702923,Madinaty,0,1,night,1,0,0,1,8.54,22,MAD-00058
59,A60,2025-04-20 18:02:00,30.060402892580296,31.631644875359772,Madinaty,1,0,evening,0,0,0,1,11.58,4,MAD-00059
60,A61,2025-04-11 08:39:00,30.06401060184378,31.643664598615786,Madinaty,0,0,morning,1,0,1,0,5.25,16,MAD-00060
61,A62,2025-04-11 07:04:00,30.065816130133484,31.63016891553213,Madinaty,0,1,morning,0,0,0,0,7.27,7,MAD-00061
62,A63,2025-04-26 11:43:00,30.061178491123705,31.63378618840508,Madinaty,0,1,morning,1,0,0,0,6.38,8,MAD-00062
63,A64,2025-04-18 15:39:00,30.074636507504408,31.63905561255529,Madinaty,0,0,afternoon,1,0,0,0,8.6,8,MAD-00063
64,A65,2025-04-12 16:02:00,30.075536240687192,31.631956923283816,Madinaty,1,0,afternoon,1,0,1,1,6.5,20,MAD-00064
65,A66,2025-04-16 16:48:00,30.07239946516446,31.633992437053024,Madinaty,1,1,afternoon,1,1,0,1,15.38,3,MAD-00065
66,A67,2025-04-22 04:32:00,30.066082516540373,31.645149130827694,Madinaty,1,0,night,0,1,1,0,5.44,9,MAD-00066
67,A68,2025-04-04 03:40:00,30.075569722821587,31.630492819997485,Madinaty,1,0,night,0,0,1,1,14.27,19,MAD-00067
68,A69,2025-04-27 06:34:00,30.076264303187816,31.65042938799892,Madinaty,0,0,morning,0,1,0,0,7.11,13,MAD-00068
69,A70,2025-04-12 23:03:00,30.071774128558857,31.653965240387773,Madinaty,0,1,night,0,1,1,1,19.18,7,MAD-00069
70,A71,2025-04-07 17:52:00,30.07416386319744,31.650782025026807,Madinaty,1,0,evening,0,1,1,1,19.0,20,MAD-00070
71,A72,2025-04-06 14:25:00,30.06708004229981,31.62937963308278,Madinaty,1,0,afternoon,1,1,0,0,8.38,21,MAD-00071
72,A73,2025-04-25 19:39:00,30.07272150716202,31.64999711617185,Madinaty,1,0,evening,0,0,1,0,14.22,15,MAD-00072
73,A74,2025-04-16 10:36:00,30.063023426261527,31.6449429537581,Madinaty,0,0,morning,1,1,0,0,5.42,19,MAD-00073
74,A75,2025-04-21 14:29:00,30.059075502300534,31.64583801884073,Madinaty,0,0,afternoon,0,0,1,0,18.98,2,MAD-00074
75,A76,2025-04-30 07:10:00,30.06368995218278,31.649409976396104,Madinaty,1,1,morning,1,1,1,1,12.84,12,MAD-00075
76,A77,2025-04-20 08:51:00,30.063466526633093,31.62649516217448,Madinaty,0,0,morning,0,1,0,1,5.65,8,MAD-00076
77,A78,2025-04-30 23:02:00,30.06460277739109,31.634416882203908,Madinaty,1,1,night,0,1,0,0,10.14,23,MAD-00077
78,A79,2025-04-03 13:11:00,30.060422265944407,31.645252167204216,Madinaty,0,1,afternoon,1,0,1,1,6.15,23,MAD-00078
79,A80,2025-04-03 03:19:00,30.073660821424845,31.64499568035625,Madinaty,0,0,night,0,1,1,1,10.89,8,MAD-00079
80,A81,2025-04-11 13:51:00,30.0591666899918,31.645652056490743,Madinaty,1,0,afternoon,1,0,0,0,15.05,13,MAD-00080
81,A82,2025-04-15 07:09:00,30.06742162852475,31.63194318066007,Madinaty,0,1,morning,1,1,1,0,12.05,1,MAD-00081
82,A83,2025-04-15 02:30:00,30.064021056608343,31.63175240378407,Madinaty,0,1,night,0,0,1,1,10.76,10,MAD-00082
83,A84,2025-04-14 13:57:00,30.073964893141778,31.651810050012426,Madinaty,1,0,afternoon,1,1,1,0,6.79,21,MAD-00083
84,A85,2025-04-17 07:29:00,30.06453285668653,31.625765347005167,Madinaty,1,0,morning,1,0,1,0,8.67,9,MAD-00084
85,A86,2025-04-18 06:25:00,30.067116825655155,31.647960695196925,Madinaty,0,1,morning,1,0,0,1,6.5,2,MAD-00085
86,A87,2025-04-19 23:33:00,30.07013112059236,31.635934692484664,Madinaty,0,0,night,0,1,0,1,17.11,19,MAD-00086
87,A88,2025-04-05 16:56:00,30.06262566012125,31.65341028962242,Madinaty,0,1,afternoon,1,0,0,0,7.03,22,MAD-00087
88,A89,2025-04-24 14:24:00,30.075489415955765,31.62703145194408,Madinaty,0,0,afternoon,1,1,0,1,13.93,14,MAD-00088
89,A90,2025-04-24 00:25:00,30.06672102900835,31.63279309023814,Madinaty,0,1,night,1,1,0,0,10.14,10,MAD-00089
90,A91,2025-04-22 13:38:00,30.07426498435906,31.649466106042087,Madinaty,0,0,afternoon,0,1,0,0,8.39,10,MAD-00090
91,A92,2025-04-20 21:35:00,30.07576417675377,31.648510197192117,Madinaty,1,0,night,0,1,1,1,14.59,8,MAD-00091
92,A93,2025-04-14 10:14:00,30.07204738626132,31.6353922690414,Madinaty,1,1,morning,0,1,0,1,11.86,14,MAD-00092
93,A94,2025-04-25 09:59:00,30.065594159557214,31.636225374236982,Madinaty,0,1,morning,1,1,1,0,11.0,13,MAD-00093
94,A95,2025-04-03 20:38:00,30.070472733450263,31.633064314451957,Madinaty,0,0,evening,0,1,1,0,13.89,6,MAD-00094
95,A96,2025-04-22 15:33:00,30.06127558730713,31.643652102858923,Madinaty,0,0,afternoon,1,1,1,0,12.37,21,MAD-00095
96,A97,2025-04-21 12:14:00,30.06620874151824,31.62683857841553,Madinaty,0,0,afternoon,1,1,0,1,9.55,13,MAD-00096
97,A98,2025-04-21 08:44:00,30.07246007816936,31.630046225345144,Madinaty,0,0,morning,0,1,1,0,13.39,3,MAD-00097
98,A99,2025-04-23 04:41:00,30.0749063164038,31.65128295058704,Madinaty,1,1,night,1,1,0,1,15.04,20,MAD-00098
99,A100,2025-04-18 20:33:00,30.07145136703439,31.65032312835496,Madinaty,0,0,evening,1,0,1,0,5.4,13,MAD-00099
100,A101,2025-04-11 02:30:00,30.073515021597316,31.63739228645088,Madinaty,0,1,night,1,0,1,1,11.99,23,MAD-00100
101,A102,2025-04-13 20:26:00,30.06367762634768,31.627894839191715,Madinaty,1,1,evening,0,1,0,0,5.87,23,MAD-00101
102,A103,2025-04-07 00:45:00,30.07065770800372,31.65375243179723,Madinaty,0,0,night,0,1,1,1,7.8,19,MAD-00102
103,A104,2025-04-29 08:55:00,30.074964017669465,31.644108071826192,Madinaty,1,0,morning,1,1,1,0,13.41,16,MAD-00103
104,A105,2025-04-11 01:39:00,30.07583608877141,31.638761571280178,Madinaty,1,1,night,0,1,1,0,17.99,4,MAD-00104
105,A106,2025-04-20 08:38:00,30.063558302702635,31.64802971646412,Madinaty,1,1,morning,0,1,1,0,18.24,3,MAD-00105
106,A107,2025-04-13 01:59:00,30.060125777849528,31.645007800120958,Madinaty,0,0,night,0,1,0,0,6.05,15,MAD-00106
107,A108,2025-04-27 14:13:00,30.06779869356555,31.650399660505084,Madinaty,1,0,afternoon,0,1,1,1,11.29,15,MAD-00107
108,A109,2025-04-04 19:28:00,30.068833641294205,31.6464645395477,Madinaty,0,0,evening,0,1,1,1,13.75,18,MAD-00108
109,A110,2025-04-03 19:52:00,30.073975413997044,31.65107096386666,Madinaty,1,1,evening,1,0,0,1,7.21,22,MAD-00109
110,A111,2025-04-17 12:27:00,30.066168017660537,31.64719091392779,Madinaty,0,0,afternoon,1,1,1,1,16.48,7,MAD-00110
111,A112,2025-04-28 14:22:00,30.074509321801177,31.64621860655981,Madinaty,1,1,afternoon,1,0,1,1,16.16,20,MAD-00111
112,A113,2025-04-03 13:10:00,30.067689077644964,31.63190348816444,Madinaty,0,1,afternoon,1,1,1,0,18.55,5,MAD-00112
113,A114,2025-04-26 20:52:00,30.063856872303955,31.643866769990414,Madinaty,1,1,evening,1,1,1,1,5.13,8,MAD-00113
114,A115,2025-04-24 14:20:00,30.07453622363797,31.648021557596824,Madinaty,1,1,afternoon,1,0,0,1,8.25,23,MAD-00114
115,A116,2025-04-29 03:23:00,30.07598140626657,31.647473676780056,Madinaty,0,0,night,0,1,1,1,17.41,10,MAD-00115
116,A117,2025-04-30 06:21:00,30.063650920994053,31.64927758727163,Madinaty,0,1,morning,1,0,0,1,15.06,1,MAD-00116
117,A118,2025-04-09 11:30:00,30.06487443956131,31.62979318636172,Madinaty,1,0,morning,1,1,1,0,18.42,11,MAD-00117
118,A119,2025-04-14 04:41:00,30.07219508497492,31.64210586201438,Madinaty,0,0,night,1,1,1,0,5.86,3,MAD-00118
119,A120,2025-04-20 22:06:00,30.076250377825268,31.641060575928964,Madinaty,0,1,night,1,0,1,0,13.95,21,MAD-00119
120,A121,2025-04-29 04:44:00,30.07422412324217,31.63274438888564,Madinaty,1,1,night,1,1,0,0,13.54,3,MAD-00120
121,A122,2025-04-04 06:49:00,30.062138339728552,31.645860942217197,Madinaty,1,0,morning,0,0,1,1,5.54,15,MAD-00121
122,A123,2025-04-21 02:54:00,30.06822329423477,31.638317161432607,Madinaty,0,1,night,1,1,1,1,12.7,17,MAD-00122
123,A124,2025-04-07 09:37:00,30.07139454961657,31.635262572834268,Madinaty,1,1,morning,1,0,0,0,14.14,18,MAD-00123
124,A125,2025-04-28 06:16:00,30.071937725223957,31.632021573257735,Madinaty,1,1,morning,0,0,0,0,7.87,8,MAD-00124
125,A126,2025-04-11 04:47:00,30.066824142987148,31.632689244582163,Madinaty,1,1,night,0,1,0,1,9.1,23,MAD-00125
126,A127,2025-04-13 07:22:00,30.06323566920402,31.652272520291497,Madinaty,1,0,morning,1,1,0,1,14.61,13,MAD-00126
127,A128,2025-04-11 15:04:00,30.070030732382264,31.652549714957463,Madinaty,0,1,afternoon,1,0,1,0,12.02,10,MAD-00127
128,A129,2025-04-22 00:17:00,30.067311756850145,31.6346335900579,Madinaty,1,0,night,0,1,1,0,17.87,3,MAD-00128
129,A130,2025-04-14 02:50:00,30.06617518992104,31.6367718239969,Madinaty,0,1,night,0,1,1,0,10.14,20,MAD-00129
130,A131,2025-04-07 07:28:00,30.0736055816216,31.6486954318592,Madinaty,1,0,morning,1,1,1,0,9.0,14,MAD-00130
131,A132,2025-04-02 05:51:00,30.073338077468705,31.645220759170165,Madinaty,0,0,night,0,0,0,1,19.77,13,MAD-00131
132,A133,2025-04-22 00:35:00,30.06503856939297,31.627511077026053,Madinaty,1,1,night,1,0,1,1,18.67,3,MAD-00132
133,A134,2025-04-30 14:02:00,30.068544830076934,31.635895503149115,Madinaty,0,1,afternoon,1,0,1,1,5.43,13,MAD-00133
134,A135,2025-04-23 21:38:00,30.069059068749223,31.647089296524967,Madinaty,0,0,night,1,0,1,0,16.56,20,MAD-00134
135,A136,2025-04-02 05:53:00,30.068362572620337,31.63701895255333,Madinaty,0,0,night,1,0,1,1,6.66,23,MAD-00135
136,A137,2025-04-23 13:23:00,30.07650530083695,31.64835152674821,Madinaty,0,0,afternoon,0,0,0,1,5.41,9,MAD-00136
137,A138,2025-04-25 10:53:00,30.06089204792509,31.64793734444993,Madinaty,0,0,morning,0,0,1,0,9.11,16,MAD-00137
138,A139,2025-04-05 02:55:00,30.07118053318225,31.65245481389313,Madinaty,1,1,night,1,0,1,0,9.04,23,MAD-00138
139,A140,2025-04-29 17:27:00,30.07060209316028,31.647705399151164,Madinaty,1,1,evening,1,0,1,0,17.29,23,MAD-00139
140,A141,2025-04-21 19:25:00,30.073137551484884,31.647611912556684,Madinaty,0,1,evening,1,1,0,0,15.66,8,MAD-00140
141,A142,2025-04-01 17:32:00,30.074409954956,31.63980049781183,Madinaty,0,0,evening,1,0,0,0,19.72,12,MAD-00141
142,A143,2025-04-05 14:07:00,30.06664841809592,31.629957105805538,Madinaty,0,0,afternoon,1,1,1,0,15.67,12,MAD-00142
143,A144,2025-04-20 03:27:00,30.076271164569786,31.63316300975421,Madinaty,0,0,night,1,1,1,1,11.27,19,MAD-00143
144,A145,2025-04-04 21:51:00,30.061156031459014,31.64435110314008,Madinaty,1,0,night,1,1,1,1,15.48,17,MAD-00144
145,A146,2025-04-02 03:43:00,30.076187178815974,31.635146018369745,Madinaty,0,0,night,0,0,0,1,19.99,15,MAD-00145
146,A147,2025-04-27 08:35:00,30.068080046097467,31.6299103994042,Madinaty,1,1,morning,1,0,1,1,15.65,22,MAD-00146
147,A148,2025-04-29 07:59:00,30.06491401251977,31.626857461816623,Madinaty,1,1,morning,1,0,1,1,16.43,18,MAD-00147
148,A149,2025-04-17 01:41:00,30.067750085628127,31.647332024643983,Madinaty,0,1,night,0,0,1,1,19.08,7,MAD-00148
149,A150,2025-04-20 20:03:00,30.06802891184377,31.64562532812798,Madinaty,1,0,evening,0,1,0,0,6.7,13,MAD-00149
150,A151,2025-04-01 17:17:00,30.062024945297782,31.637039206119518,Madinaty,0,0,evening,0,0,1,0,15.57,19,MAD-00150
151,A152,2025-05-01 02:25:00,30.068272732333423,31.649222769881835,Madinaty,0,1,night,0,0,1,0,17.76,16,MAD-00151
152,A153,2025-04-12 11:05:00,30.07604948214048,31.643322448189117,Madinaty,0,1,morning,1,0,0,1,19.32,11,MAD-00152
153,A154,2025-04-17 16:58:00,30.06357271716949,31.64454032658981,Madinaty,0,1,afternoon,1,0,0,1,8.16,5,MAD-00153
154,A155,2025-04-15 17:06:00,30.060500043954423,31.636577187948603,Madinaty,1,0,evening,1,0,1,0,12.56,2,MAD-00154
155,A156,2025-04-19 17:02:00,30.07485353344076,31.650781113179136,Madinaty,1,0,evening,1,1,0,0,15.21,1,MAD-00155
156,A157,2025-04-25 03:31:00,30.063476268027063,31.626729765105576,Madinaty,1,1,night,1,0,1,0,8.71,16,MAD-00156
157,A158,2025-04-07 14:30:00,30.062049217079757,31.64434570949741,Madinaty,0,1,afternoon,0,1,0,0,14.01,5,MAD-00157
158,A159,2025-04-07 01:27:00,30.063832206050584,31.62623611102024,Madinaty,0,1,night,0,0,0,0,8.86,7,MAD-00158
159,A160,2025-04-30 06:54:00,30.071456750345583,31.652368251255474,Madinaty,1,0,morning,1,1,1,1,10.0,9,MAD-00159
160,A161,2025-04-27 12:37:00,30.07621077043006,31.63856587398929,Madinaty,1,0,afternoon,1,0,1,1,11.62,4,MAD-00160
161,A162,2025-04-05 04:50:00,30.071794057505336,31.63561391864233,Madinaty,0,0,night,0,0,1,1,12.94,19,MAD-00161
162,A163,2025-04-30 20:10:00,30.071170092487865,31.645806370786115,Madinaty,0,1,evening,1,1,0,0,11.74,20,MAD-00162
163,A164,2025-04-25 10:43:00,30.07083987607793,31.64193661416561,Madinaty,0,0,morning,1,1,1,1,12.4,15,MAD-00163
164,A165,2025-04-28 07:20:00,30.063440145767608,31.64204319398029,Madinaty,0,0,morning,1,1,1,0,9.48,7,MAD-00164
165,A166,2025-04-26 01:49:00,30.064018836355206,31.636614178706992,Madinaty,0,1,night,0,0,1,1,7.38,18,MAD-00165
166,A167,2025-04-11 03:31:00,30.06008280699353,31.64289906227336,Madinaty,0,0,night,1,1,1,0,5.71,5,MAD-00166
167,A168,2025-04-21 11:23:00,30.070439934323343,31.6444060006467,Madinaty,0,1,morning,1,0,1,0,7.94,21,MAD-00167
168,A169,2025-04-06 23:59:00,30.063453922401827,31.63713951458958,Madinaty,0,1,night,0,0,0,1,13.73,13,MAD-00168
169,A170,2025-04-03 02:14:00,30.07253298125177,31.629561847046947,Madinaty,0,1,night,1,1,1,1,16.79,3,MAD-00169
170,A171,2025-04-26 21:58:00,30.06453843751428,31.62724252183459,Madinaty,0,0,night,0,1,1,1,7.54,6,MAD-00170
171,A172,2025-04-15 20:23:00,30.07569242241836,31.64606827769078,Madinaty,0,0,evening,0,0,0,1,6.63,12,MAD-00171
172,A173,2025-04-25 02:58:00,30.069223092760893,31.64598883081862,Madinaty,1,0,night,0,0,1,1,16.24,21,MAD-00172
173,A174,2025-04-06 22:31:00,30.06037289695335,31.62574034935972,Madinaty,1,1,night,1,1,1,0,9.58,18,MAD-00173
174,A175,2025-04-20 02:21:00,30.06914525682919,31.636632008914045,Madinaty,0,1,night,0,1,1,1,19.27,18,MAD-00174
175,A176,2025-04-12 08:40:00,30.06730838442914,31.64690105749396,Madinaty,1,0,morning,1,1,1,1,15.71,4,MAD-00175
176,A177,2025-04-18 07:18:00,30.060174894198763,31.6431425892712,Madinaty,1,0,morning,1,0,1,0,9.9,20,MAD-00176
177,A178,2025-04-20 23:11:00,30.06820440472894,31.640727890371178,Madinaty,0,0,night,0,0,0,1,9.34,23,MAD-00177
178,A179,2025-04-13 11:01:00,30.07028914945846,31.630387236431293,Madinaty,0,1,morning,1,0,0,0,12.86,14,MAD-00178
179,A180,2025-04-29 21:53:00,30.06509124441966,31.65204346508637,Madinaty,0,1,night,0,0,0,1,6.19,14,MAD-00179
180,A181,2025-04-23 06:50:00,30.068728027382274,31.653992710240853,Madinaty,1,1,morning,1,0,1,1,6.77,1,MAD-00180
181,A182,2025-04-19 14:10:00,30.07412612134097,31.65103609690318,Madinaty,0,1,afternoon,0,0,0,0,7.64,11,MAD-00181
182,A183,2025-04-07 14:26:00,30.07554295750625,31.63836323072741,Madinaty,0,0,afternoon,1,1,1,1,16.62,22,MAD-00182
183,A184,2025-04-23 09:18:00,30.06574433954303,31.64109585350645,Madinaty,0,0,morning,0,0,1,1,12.71,9,MAD-00183
184,A185,2025-04-02 15:56:00,30.07686538433861,31.630739863552304,Madinaty,1,0,afternoon,1,0,1,1,5.16,18,MAD-00184
185,A186,2025-04-24 10:40:00,30.07615897497618,31.63993569155163,Madinaty,0,1,morning,1,0,0,1,15.1,5,MAD-00185
186,A187,2025-04-13 06:49:00,30.068242177050607,31.646754798459256,Madinaty,0,0,morning,0,1,0,0,11.36,10,MAD-00186
187,A188,2025-04-30 09:14:00,30.062571980852265,31.63227067925928,Madinaty,0,1,morning,0,0,0,0,12.66,15,MAD-00187
188,A189,2025-04-26 16:35:00,30.06930748020004,31.63682965384831,Madinaty,0,0,afternoon,1,0,1,1,8.21,10,MAD-00188
189,A190,2025-04-11 07:56:00,30.06493116396033,31.638361023465563,Madinaty,0,0,morning,1,1,0,1,13.28,16,MAD-00189
190,A191,2025-04-17 21:45:00,30.061186067159035,31.6343794264239,Madinaty,0,1,night,0,0,1,0,19.69,4,MAD-00190
191,A192,2025-04-11 09:21:00,30.07029151758657,31.63955820384269,Madinaty,0,1,morning,1,0,0,0,6.1,4,MAD-00191
192,A193,2025-04-17 00:03:00,30.06370269556524,31.62706453408774,Madinaty,0,1,night,1,0,0,1,9.26,8,MAD-00192
193,A194,2025-04-23 09:25:00,30.07641299754404,31.62738075154976,Madinaty,0,1,morning,0,0,1,0,8.64,6,MAD-00193
194,A195,2025-04-10 03:21:00,30.059497223531125,31.63957587187505,Madinaty,1,1,night,1,0,1,0,8.73,23,MAD-00194
195,A196,2025-04-19 01:35:00,30.064188467076583,31.644807066486745,Madinaty,1,1,night,1,1,0,0,10.68,11,MAD-00195
196,A197,2025-04-04 21:00:00,30.07649014837621,31.65212207179161,Madinaty,1,1,night,0,1,0,0,17.27,13,MAD-00196
197,A198,2025-04-23 19:32:00,30.07608993911582,31.63068875225214,Madinaty,1,1,evening,0,1,0,1,18.69,19,MAD-00197
198,A199,2025-04-07 14:18:00,30.07570299020642,31.646177898292205,Madinaty,0,1,afternoon,1,0,1,0,8.03,11,MAD-00198
199,A200,2025-04-22 07:07:00,30.075497803037308,31.63782559159246,Madinaty,0,1,morning,1,0,1,1,13.14,2,MAD-00199
200,A201,2025-04-12 15:27:00,30.072776626428624,31.63013581939504,Madinaty,0,1,afternoon,1,0,0,1,14.55,3,MAD-00200
201,A202,2025-04-11 11:38:00,30.060877595429226,31.65055205515692,Madinaty,0,1,morning,1,1,0,0,12.83,15,MAD-00201
202,A203,2025-04-28 10:10:00,30.07056049424363,31.627259040761896,Madinaty,1,1,morning,1,0,1,1,11.51,13,MAD-00202
